,sna,tot,sbi,sarea,mday,ar,bemp,act
1154,YouBike2.0_吳興街284巷(廣安宮),15,4,信義區,2023-05-27 15:19:14,吳興街284巷23號對側,10,1
1155,YouBike2.0_景勤二號公園(西南側),22,2,信義區,2023-05-27 15:15:15,信安街67巷/信安街口東南側,19,1
1156,YouBike2.0_克勤新村,18,4,信義區,2023-05-27 15:19:15,信安街67巷75號對側,13,1
1157,YouBike2.0_和平東路三段291號,15,5,信義區,2023-05-27 15:13:16,和平東路三段291號前,10,1
1161,YouBike2.0_國興中華路口,14,5,萬華區,2023-05-27 15:14:14,國興路2號前,9,1
1163,YouBike2.0_國興水源路口,14,4,萬華區,2023-05-27 14:53:04,國興路1巷15號對側,10,1
1165,YouBike2.0_國興青年路口,30,5,萬華區,2023-05-27 15:17:32,國興路與青年路口西南側,25,1
1166,YouBike2.0_青年公園棒球場,28,1,萬華區,2023-05-27 15:19:15,青年路66號對側,26,1
1167,YouBike2.0_青年公園籃球場,16,2,萬華區,2023-05-27 15:03:15,青年公園籃球場南側,12,1
1169,YouBike2.0_新和國小,20,1,萬華區,2023-05-27 15:15:15,萬大路277巷37弄1號東側,17,1
1171,YouBike2.0_莒光立體停車場,10,2,萬華區,2023-05-27 14:43:18,莒光路137號前,8,1
1174,YouBike2.0_華中疏散門,12,2,萬華區,2023-05-27 14:50:22,環河南路三段371號前,9,1
1176,YouBike2.0_忠德公園,19,2,萬華區,2023-05-27 15:03:15,東園街66巷20弄27號前,17,1
1179,YouBike2.0_雙園國中,24,0,萬華區,2023-05-27 15:11:04,西園路二段320巷與興義街口,23,1
1182,YouBike2.0_華江八號公園,20,4,萬華區,2023-05-27 15:15:15,環河南路二段216號旁,15,1
1185,YouBike2.0_糖廍文化園區,14,4,萬華區,2023-05-27 14:37:15,大理街177號對側,9,1
1187,YouBike2.0_萬華青年公宅,23,4,萬華區,2023-05-27 15:10:22,青年路188號前,19,1
1191,YouBike2.0_貓公園(中興橋頭),15,1,萬華區,2023-05-27 15:19:15,成都路108號(對面),13,1
1201,YouBike2.0_臺北市電影主題公園(峨嵋街),15,5,萬華區,2023-05-27 15:17:32,峨嵋街100號(對面),10,1
1204,YouBike2.0_萬華266號綠地,15,2,萬華區,2023-05-27 15:18:15,康定路81號(對面),13,1
1206,YouBike2.0_德昌街10巷口,10,4,萬華區,2023-05-27 15:19:15,德昌街15號(對面),5,1
1208,YouBike2.0_長順街60巷口,15,3,萬華區,2023-05-27 14:50:22,長順街60巷38號對側,12,1
1212,YouBike2.0_綠堤社區公園,22,5,萬華區,2023-05-27 14:53:16,大理街170巷與環河南路二段159巷口,17,1
1216,YouBike2.0_龍山國中,15,2,萬華區,2023-05-27 15:15:15,南寧路與廣州街口南側,13,1
1217,YouBike2.0_洛陽停車場,22,2,萬華區,2023-05-27 14:59:19,昆明街與洛陽街口西側,18,1
1218,YouBike2.0_桂林昆明街口,20,0,萬華區,2023-05-27 15:13:05,桂林路與昆明街口西北側,20,1
1224,YouBike2.0_萬大路493巷,10,2,萬華區,2023-05-27 13:55:23,萬大路493巷44號旁,7,1
1225,YouBike2.0_雙園國中地下停車場,12,2,萬華區,2023-05-27 15:08:14,西園路二段320巷55弄8-10號前,9,1
1227,YouBike2.0_臺大水源舍區A棟,37,0,臺大專區,2023-05-27 15:03:04,汀洲路三段60巷2弄路側(A舍北側),34,1
1228,YouBike2.0_臺大卓越研究大樓,32,3,臺大專區,2023-05-27 15:10:22,臺大水源舍區C南側,26,1
1229,YouBike2.0_臺大水源修齊會館,18,5,臺大專區,2023-05-27 15:01:17,思源街16號之1旁,10,1
1230,YouBike2.0_臺大檔案展示館,10,2,臺大專區,2023-05-27 13:57:15,臺大檔案展示館東北側,7,1
1232,YouBike2.0_臺大男八舍東側,42,2,臺大專區,2023-05-27 15:19:15,臺大男八舍東側,40,1
